Total time: 00:06:39.473

Lap,Task,Start,Time,Date
34,,13:32:29,00:00:01.903,2025-08-20,
33,,13:32:27,00:00:01.934,2025-08-20,
32,,13:32:25,00:00:02.061,2025-08-20,
31,,13:32:23,00:00:01.903,2025-08-20,
30,,13:32:21,00:00:02.128,2025-08-20,
29,,13:32:19,00:00:02.014,2025-08-20,
28,,13:32:17,00:00:01.903,2025-08-20,
27,,13:32:15,00:00:02.046,2025-08-20,
26,,13:32:13,00:00:01.983,2025-08-20,
25,,13:32:11,00:00:01.918,2025-08-20,
24,,13:32:09,00:00:01.847,2025-08-20,
23,,13:32:07,00:00:01.887,2025-08-20,
22,,13:31:19,00:00:01.968,2025-08-20,
21,,13:30:54,00:00:01.727,2025-08-20,
20,,13:30:32,00:00:02.351,2025-08-20,
19,,13:30:30,00:00:02.000,2025-08-20,
18,,13:30:28,00:00:01.878,2025-08-20,
17,,13:30:26,00:00:02.143,2025-08-20,
16,,13:30:24,00:00:01.768,2025-08-20,
15,,13:30:22,00:00:02.166,2025-08-20,
14,,13:30:20,00:00:01.903,2025-08-20,
13,,13:30:18,00:00:01.926,2025-08-20,
12,,13:30:16,00:00:02.183,2025-08-20,
11,,13:30:14,00:00:01.855,2025-08-20,
10,,13:30:12,00:00:02.015,2025-08-20,
9,,13:30:10,00:00:02.039,2025-08-20,
8,,13:30:08,00:00:02.032,2025-08-20,
7,,13:30:06,00:00:02.023,2025-08-20,
6,,13:30:04,00:00:01.983,2025-08-20,
5,,13:30:02,00:00:01.944,2025-08-20,
4,,13:30:00,00:00:01.912,2025-08-20,
3,,13:29:58,00:00:02.079,2025-08-20,
2,,13:29:56,00:00:01.799,2025-08-20,
1,,13:29:54,00:00:01.808,2025-08-20,


www.chronme.com
